,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
154,45.02,207.0,2.499999999999989,1.13,7.778148292741785,50.51244290055585,1.44754,-1.51,3.322234782142396,84.0,0.71,0.48,0.97,17.2,26.2,19.0,39.8
155,46.0,100.56,4.000000000000008,1.214,1.966,42.603,1.369,0.5399999999999999,2.5535533410152143,29.122060733174038,1.23,0.38,0.6500000000000001,14.3,11.9,16.6,37.8
156,68.03000000000002,31.300000000000004,-85.6,0.94,0.38,600.0,1.4214,1.34,0.3872087447155936,3.0,-0.11176962364423344,0.1291487281590965,0.49190082199867485,17.8,1.8,5.3,72.5
157,98.04,170.0,-30.999999999999996,1.13,4.62,-59.933185950794964,1.485,0.2799999999999999,3.060511030545812,20.504755524333067,0.35390191443647423,0.5360032424956095,0.915535981303996,17.4,7.6,15.1,86.5
158,86.04,204.0,-43.99999999999999,1.125,3.9290166482072686,0.45,1.444,-0.6400000000000001,3.8199999999999994,36.357597891283554,-0.07106462398242323,0.5412800061319393,0.9576146096674564,18.0,16.6,7.4,76.5
159,116.0,116.50000000000003,-98.8,0.88,0.69,17.776,1.4,1.7200000000000004,1.87,5.6,0.09733175110580933,0.31281796756771163,0.35583124110076025,15.1,3.7,6.3,133.5
160,144.12,148.60000000000002,-81.0,0.855,3.1957542020771457,4.33,1.399,1.7799109190676061,1.4776345819337664,11.396464091985152,0.35843838316785637,0.4540915816080162,0.18547222139553846,15.1,2.8,5.8,169.8
161,130.1,142.0,-79.0,0.87,0.872,5.6,1.402,2.13,0.9659212041782967,2.2603192736396416,0.021743346457695063,0.33658450571743426,0.26791509524768176,15.299999999999999,3.1,7.0,148.8
162,138.1,215.0,-8.000000000000016,0.9200000000000002,2.62,-86.26651836227668,1.4775,1.67,3.0343910526349878,11.052371707188167,0.07494766286789922,0.4881251892255771,0.7104668534496421,16.6,8.2,7.4,150.5
163,298.29,342.0,13.50000000000001,0.8404,6.443826394583935,5.59e-05,1.4364,2.430134004798499,1.382430944285843,12.615550464385866,0.3418674477589871,0.448779993707218,0.1877376112428312,14.3,3.9,3.7,330.0
