,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
265,LacticÂ acid,#FFD700,,90,216,53,1.19,36.9,0.029,1.42,0.6,3.410605381,26.65914057,0.445816369,0.472447544,0.907299408,17,8.3,28.4,73.8,,,,,,,,,,,,,
264,diethylsulfide,,,90.05,92,-102.05,0.8385,2.51635944,60.2,1.445,1.95,0.793248116,4.605092641,0,0.37,0.46,17,3.1,2,108.2,,,,,,,,,,,,,
262,1-methoxy-2-propanol,,,90.07,135,-70,0.93,5.370056865,5.31,1.406,-0.54,3.442365633,35.07601166,0.39282099,0.681544444,0.809689054,16.2,9.2,14.3,97.8,,,,,,,,,,,,,
263,2-ethoxyethanol,,,90.07,120,-96,0.96,1.81,12.5,1.4034,0.128995439,2.327488249,9.673739388,0.680477073,0.578913115,0.685654211,15.6,6.3,11.6,98.2,,,,,,,,,,,,,
261,Dimethyl carbonate,No Ranking,,90.08,90.5,0.5,1.0636,0.664,55.364,1.3687,0.15,0.93,3.17,0,0.32,0.44,15.5,3.9,9.7,84.69217751,,No Group,,100,,,,98,,,93,,41 Ã‚Â£/L
260,"1,2-Dimethoxyethane",Hazardous,1,90.12,85,-58,0.863,0.4859,48,1.3813,-0.21,1.71,7.2,0,0.41,0.53,15.4,6.3,6,104.4264195,Dimethoxyethane,No Group,52.3,,,,,,,86,,,54 Ã‚Â£/L
258,epichlorohydrin,#FFD700,,92,290,18.2,1.26,945,0,1.473,-1.76,3.513582696,39.63342423,0.372413514,0.521412103,0.918445338,17.4,11.3,27.2,73.4,,,,,,,,,,,,,
259,glycerol,,,92,116,-48,1.18,4.714696856,16.4,1.43585,0.26,1.8,34.32671581,0.321362544,0.515715152,0.921944768,19,10.2,3.7,79.9,,,,,,,,,,,,,
257,1-chlorobutane,,,92.04,78,-123,0.89,0.45,198.8758933,1.40223,2.82,1.187981589,9.6,0,0,0.39,16.4,5.5,2,104.9,,,,,,,,,,,,,
256,Toluene,Problematic,2,92.14,110.6,-94.9,0.8623,0.56,28.4,1.4967,2.73,0.36,2.33,0,0.11,0.54,18,1.4,2,106.8539951,#NAME?,Arene,,,,12.5,,,100,,,,30 Ã‚Â£/L
254,cyanol,,,93.06,184,-6,1.02,1.62,0.667,1.5863,0.94,1.53,6.89,0.532365498,0.609982982,0.757760294,19.4,5.1,10.2,91.5,,,,,,,,,,,,,
255,2-methylpyridine,,,93.06,128.5,-70,0.95,9.269576036,11.2,1.4957,1.1,0.939787863,3.640347261,0.466780407,0.70830726,0.393703911,16.83912408,0.506759178,9.412838472,108.6045743,,,,,,,,,,,,,
253,dimethylsulfone,,,94.01,238,109,1.149327455,8.038092331,10.4134243,1.470439755,-1.41,3.513582696,39.63342423,0.304734218,0.521412103,0.970035484,19,19.4,12.3,75,,,,,,,,,,,,,
252,phenol,,,94.04,182,41,1.06,3.437,42.01689675,1.5408,1.46,1.45,12.11747487,1.65,0.3,0.72,18,5.9,14.9,87.5,,,,,,,,,,,,,
249,"1,1-dichloroethylene",,,95.95,55,-49.8,1.27,0.41,331,1.4454,2,0,-1.405997399,0,0,0.44,17.67428713,0.920985715,-0.53023574,94.81805492,,,,,,,,,,,,,
250,"trans-1,2-dichloroethene",,,95.95,55,-80,1.27,6.255740689,200,1.4435,2,1.9,5.496655658,0.245601863,0.19997053,0.514981316,17.53624057,2.20909732,6.676185176,89.44211695,,,,,,,,,,,,,
251,"(z)-1,2-dichloroethene",,,95.95,32,-122,1.21,0.3302,600,1.4249,2.41,1.151467512,5.653390929,0.071324018,0.090975338,0.585686399,17,6.8,4.5,79,,,,,,,,,,,,,
248,2-furaldehyde,,,96.02,162,-36.5,1.16,1.587,77.46927065,1.525,0.46,4.168996145,41.9,-0.042462564,0.414448114,0.930562092,18.6,14.9,5.1,83.2,,,,,,,,,,,,,
247,"1,1-dichloroethane",,,97.97,57,-98,1.18,0.464,227,1.4167,1.8,2.06,10.7,0.1,0.1,0.48,16.6,8.2,0.4,84.8,,,,,,,,,,,,,
246,Ethyl cyclopentane,#FFD700,,98,103,-138,0.763,0.535,38,1.426,3.85,0,-0.38708717,-0.100507446,0.351262487,0.137931449,16.5,1.2,2,125.6,,,,,,,,,,,,,
245,furfurylalcohol,,,98.04,170,-31,1.13,4.62,-41.75807538,1.485,0.28,2.804921946,15.8811357,0.361481251,0.510387124,0.880192044,17.4,7.6,15.1,86.5,,,,,,,,,,,,,
244,mesityloxide,,,98.07,130,-41.5,0.86,60,8.21,1.4445,1.7,3.056840176,15.4,0.12419063,0.461204031,0.721795273,16.4,7.2,6.1,115.6,,,,,,,,,,,,,
