,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
114,72.06,74.8,-99.0,0.799,0.4500000000000002,111.0,1.382,0.88,2.72,13.4,0.014467534218895572,0.48650468345864295,0.5555506039971438,14.7,5.3,7.0,88.5
115,88.05,164.0,-7.899999999999999,0.954,1.4260000000000002,1.6500000000000057,1.398,0.79,1.23,3.0,0.5592149186509631,0.6503262606931645,0.40147432433907465,14.9,4.1,10.6,110.0
116,69.06,117.0,-112.0,0.81,0.5999999999999996,66.83635443656237,1.38385,0.55,3.189829166789573,20.7,-0.06165525607155081,0.4726764074211111,0.6693600668509891,15.3,12.5,5.1,87.0
117,114.07,237.0,-1.5,1.0,6.724626927276545,0.13500000000000512,1.485746334793698,0.68,3.7650715613451062,28.79395551915647,0.004919805372110786,0.7108971111798967,0.9298620442454295,19.7,15.0,7.4,110.8
118,76.0,46.3,-110.8,1.266,0.35999999999999943,300.0,1.624,1.84,0.6383016047037089,4.029596466815345,0.0,0.07,0.61,20.5,0.0,0.5999999999999988,60.0
119,112.0,131.0,-45.0,1.11,0.7530000000000001,12.0,1.5241,2.8,1.7041091211287809,5.620000000000001,0.0,0.07,0.71,19.0,4.3,2.0,102.1
120,85.97,-41.0,-146.0,3.11,2.72078646019375,7250.0,1.256,1.08,1.7813364419139857,6.109999999999999,0.5845254029992085,0.23720795088729024,0.6276096348386546,12.3,6.3,5.7,72.9
121,93.06,184.0,-6.0,1.02,1.62,0.6670000000000016,1.5863,0.94,1.53,6.890000000000001,0.5532196659956369,0.6460590157372164,0.7673733050309609,19.4,5.1,10.2,91.5
122,100.0,161.0,23.000000000000007,0.9684,57.5,1.0,1.465,1.23,1.86,15.0,0.66,0.84,0.45,17.4,4.1,13.5,106.0
123,99.1,134.5,-17.7,0.87,2.0999999999999996,-17.207254717523924,1.4565,1.4,1.259100370829218,7.90279971528605,0.17526580862781388,0.4973850877728506,0.3406765043274521,17.4,3.1,6.5,115.2
124,278.15,340.0,-35.0,1.05,1.7445662312178412,2.0100000000411455e-05,1.49,4.72,3.4288834134484514,6.4,0.06019533528182647,0.2654380762076921,0.7840656066334619,17.8,8.6,4.1,266.0
125,314.25,344.5,-10.0,0.938,5.522138419186723,13.313638951578582,1.4415,1.7245617598979976,2.2840713281176934,16.291666480842682,0.5324185366540963,0.38445807558557066,0.6189795204143077,13.9,4.5,4.1,339.0
126,101.94,8.900000000000006,-135.0,3.57,0.3130000000000006,1360.0,1.3724,1.55,0.9298842174595563,5.34,0.08956434373024755,0.09071343830336714,0.35172534950944223,15.8,3.1,5.7,75.4
127,73.09,55.500000000000014,-50.0,0.71,0.31900000000000084,237.0,1.3864,0.58,0.9199999999999999,3.6999999999999993,0.3,0.7,0.24,14.9,2.3,6.1,103.2
128,118.06,126.0,-43.0,0.98,-0.441857035110349,109.81271055497005,1.3845,1.21,1.1,2.1036292908820773,0.0,0.4,0.45,16.6,3.1,6.1,121.0
129,162.13,230.0,-68.0,0.954,0.06489999999999974,0.02190000000000225,1.4258,0.30000000000000004,2.3748505325964753,0.6008844982429569,0.3966716981340429,0.614187336114605,0.724673536450094,16.0,7.0,10.6,170.6
130,134.09,162.0,-68.0,0.95,1.0890000000000004,-52.572049122266876,1.4097,-0.3599999999999999,3.1127303443710144,24.388097083899716,0.05863598451917729,0.6182214500214068,0.7627094573317613,15.8,6.1,9.2,142.0
131,134.09,199.0,-76.0,0.99,3.8499999999999996,-89.4480359106994,1.4273,-0.1499999999999999,2.5600778491653946,13.029450850107867,0.4874596938216722,0.6907606920089224,0.743528443994585,16.2,7.8,12.7,118.0
132,134.09,199.0,-76.0,0.99,3.8499999999999996,-79.81606728755996,1.4273,-0.1499999999999999,3.3187172576520494,29.32450443922058,0.4874596938216722,0.7207907660410036,0.8185899397237073,16.2,9.2,12.3,130.9
133,103.11,207.0,-39.0,0.96,6.661504151024297,0.23000000000000398,1.481,-1.3000000000000003,3.3187172576520494,29.32450443922058,0.4807104658092255,0.7113780067922219,0.8030389442238348,16.8,13.3,14.3,108.0
134,222.09,295.0,-23.0,1.12,3.6216332633894845,0.0020999999999986585,1.5002,2.47,3.8495223830006244,35.62007561599495,0.07121005950581752,0.2861615057035667,0.86281451694986,17.6,9.6,4.5,198.0
135,154.03,209.5,-25.0,1.2,1.79,13.415577456398807,1.40037,1.14,3.9864982979134123,31.085988402952967,0.22338919555605893,0.40933169458110086,0.7986614289480367,15.8,14.7,7.2,131.5
136,90.05,92.0,-102.05,0.8385,1.9035808291961134,60.2,1.445,1.95,0.7207288150893714,4.946007099307561,0.0,0.37,0.46,17.0,3.1,2.0,108.2
137,102.0,68.0,-86.8,0.7192,0.3799999999999999,149.262,1.368,1.52,1.13,3.9000000000000004,0.0,0.49,0.27,15.1,3.2,3.2,141.8
138,194.06,284.0,5.5,1.19,17.2,0.003079999999997085,1.5168,1.795,2.8,34.0447716514238,0.0,0.78,0.82,18.6,10.8,4.9,163.0
139,94.01,238.0,109.0,1.1880876671590825,7.9056690109234315,25.269854076267777,1.4473985710114887,-1.4099999999999997,3.570448197858675,41.68293826538445,0.36527485123200554,0.532701475456521,0.9645368278933075,19.0,19.4,12.3,75.0
140,390.28,220.0,25.000000000000007,0.98,39.0,9.999999406318238e-08,1.485,8.1,2.84,16.81668325375423,0.16257708496539675,0.37908630584396846,0.6726664101579931,16.6,7.0,3.0999999999999996,277.0
141,101.12,109.3,-63.0,0.738,0.5170000000000003,20.10000000000001,1.40455,1.67,1.07,2.9000000000000004,-0.04179797424600079,0.3697594494656035,0.21366250505536488,15.3,1.3999999999999995,4.1,136.9
142,134.09,196.62468012937384,-26.442044438522395,1.005,6.064137085385468,-79.81606728755996,1.45,0.2325192993166474,3.3187172576520494,24.010438876421787,0.5155323092140655,0.7231741767032362,0.8514149029505195,16.5,10.6,17.7,131.8
143,190.16,230.0,-52.24680822330282,0.91,5.261548153981964,0.09999999999999432,1.44,1.5,1.8218917447669822,8.75132249829872,0.7685532508751363,0.46735270728809714,0.594591708441879,15.7,6.5,10.0,211.2
144,136.13,178.0,-74.0,0.8405,5.77647875368949,1.980000000000004,1.474,4.2,1.3582232493687783,8.852144282432636,0.18543971997368175,0.43107827262588766,0.19207740033865028,17.2,1.7999999999999998,4.3,162.9
145,92.0,116.0,-48.0,1.18,4.818506838236299,16.39999999999999,1.43585,0.26,1.8,35.83692592699039,0.2247124004342864,0.5004876053802461,0.9196871206600876,19.0,10.2,3.7,79.9
146,62.02000000000001,35.0,-144.4,0.84,1.122964726633307,529.0,1.428,1.5,1.0119078736319236,8.176213189795202,0.14419356869760053,0.3873671273116624,0.3932227193075373,15.8,6.5,7.2,74.3
147,106.08,136.0,-95.0,0.87,0.6399999999999997,9.599999999999994,1.4959,3.1,0.6556195624440828,1.792623787161883,-0.09751446086363963,0.32685673485310973,0.4570817956846882,17.8,0.5999999999999996,1.4000000000000004,123.1
148,108.0,95.0,-80.6,1.1,-0.4794190354901584,56.73237588923083,1.3947,0.39397253959443423,3.372141426616629,24.27896186546955,-0.07688042839671916,0.24251346512523342,0.8005934398251072,15.5,10.0,6.8,95.6
149,176.08,146.6134660397507,3.6434240882693487,1.0475,2.940255112175107,88.9997502808582,1.56,2.272655224718296,3.0851253895485824,5.300000000000001,0.1446984840016013,0.1407596443793055,0.7431166705071085,18.4,8.2,4.1,166.8
150,60.07,117.0,8.5,0.91,0.015399999999999636,-23.769330944739224,1.4565,-1.1999999999999997,1.9,35.75363793256598,0.38614810045306713,0.7471245645264878,0.8709467312297177,16.6,8.8,17.0,67.3
151,118.1,171.0,-75.0,0.9,5.345215905220103,0.8799999999999955,1.4198,0.83,2.08,11.161059129215843,0.7365029355413031,0.6686236734765125,0.5782444282326864,16.0,5.1,12.3,131.6
152,138.07,237.5,13.999999999999993,1.1094,8.435057094780301,7.0,1.534,1.16,3.2102435838762924,18.16778484270837,0.4469948088785684,0.5316840398617259,0.8510054808750745,17.8,5.7,14.3,124.7
153,74.04,53.0,-80.0,0.92,-2.7823588514587367,245.0,1.361,0.22999999999999998,1.545799815553833,7.1,0.0,0.36,0.61,15.5,8.4,8.4,80.2
154,45.02000000000001,207.0,2.5,1.13,6.89124058785422,44.64663334098613,1.44754,-1.5100000000000002,3.4607383048762665,84.0,0.71,0.48,0.97,17.2,26.2,19.0,39.8
155,46.0,100.56,4.0,1.214,1.9660000000000002,42.602999999999994,1.369,0.54,2.6702998009335643,30.391646893823193,1.23,0.38,0.65,14.3,11.900000000000002,16.6,37.8
156,68.03,31.299999999999997,-85.6,0.94,0.3799999999999999,600.0,1.4214,1.34,0.3627592670951125,3.0,-0.09927580482267823,0.12877875517527915,0.49456844128760347,17.8,1.7999999999999998,5.3,72.5
157,98.04,170.0,-31.0,1.13,4.62,-37.873200420765,1.485,0.28,2.992098529766352,13.093940545142555,0.3864050209663673,0.5144675713354544,0.8608233272355874,17.4,7.6,15.1,86.5
158,86.04,204.0,-44.0,1.125,4.227009084401374,0.45000000000000284,1.444,-0.6400000000000001,3.82,36.899421622649776,-0.09359393065321642,0.5066489402581855,0.9645368278933075,18.0,16.6,7.4,76.5
159,116.0,116.5,-98.8,0.88,0.6899999999999995,17.775999999999996,1.4,1.72,1.87,5.6,0.09009769315832142,0.32263780202271247,0.34606457416562275,15.1,3.7,6.3,133.5
160,144.12,148.6,-81.0,0.855,3.726507369810405,4.329999999999998,1.399,1.6214963317542113,1.6337750488192957,13.579188264556507,0.3252392194055662,0.47268895825041285,0.25195664620923536,15.1,2.8,5.8,169.8
161,130.1,142.0,-79.0,0.87,0.8719999999999999,5.599999999999994,1.402,2.13,0.9725255084168409,2.5752102975597833,-0.011190269963336996,0.3438755220632699,0.265150451393935,15.3,3.1,7.0,148.8
162,138.1,215.0,-8.0,0.92,2.62,-86.18375445124055,1.4775,1.67,2.960176877077207,11.792243913756822,0.14012408047757302,0.4716510206669595,0.6876914729650423,16.6,8.2,7.4,150.5
163,298.29,342.0,13.5,0.8404,7.377958593664669,5.5900000006658956e-05,1.4364,2.100879829780192,1.5385129897631113,14.715569585641601,0.3313854773430007,0.45204068643445344,0.23317087816045762,14.3,3.9,3.7,330.0
164,108.06,202.0,12.200000000000003,1.03,2.093,0.10999999999999943,1.54,1.96,1.59,16.20470166296491,0.678337463456752,0.4967188210300566,0.8168312778106346,18.5,6.5,13.7,105.0
165,120.09,165.0,-45.0,0.86,2.7829157963553417,2.480000000000004,1.49541,3.42,1.1374392823135464,3.4000000000000004,0.17979124826599202,0.33439816985935594,0.4417505622852361,18.0,0.0,0.5999999999999988,139.8
166,98.07,130.0,-41.5,0.86,60.0,8.209999999999994,1.4445,1.7,3.112852671879473,15.4,0.16257708496539675,0.4388210876308857,0.663291458468368,16.4,7.2,6.1,115.6
167,74.0,57.400000000000006,-98.0,0.928,0.36400000000000077,21.602000000000004,1.3614,0.17999999999999994,1.68,6.699999999999999,0.0,0.42,0.6,15.5,7.2,7.6,79.7
168,296.27,217.0,-19.899999999999995,0.8739,2.62,7.037861866358028,1.4522,7.449999999999999,1.5385129897631113,14.193474330735208,0.3313854773430007,0.435195546007207,0.38360681570927657,14.5,3.9,3.7,340.0
169,87.07,129.0,-5.0,1.0,2.2300000000000004,10.099999999999994,1.454,-0.8599999999999999,1.8994279324729502,15.27250313972532,0.29,0.7,0.39,18.8,4.9,9.2,87.1
170,128.06,218.0,80.0,1.15,0.7539999999999996,0.08499999999999375,1.4003,3.3500000000000005,1.2227807256338832,6.567782650902032,0.04565473921155028,0.23129483797877737,0.5221567884743591,19.2,2.0,5.9,111.5
171,75.03,114.0,-90.0,1.05,-0.3813782435917581,20.799999999999997,1.3917,0.19999999999999996,3.65,28.0,-0.09209752496534934,0.3154907603355682,0.8419490355469792,16.0,15.5,4.5,71.5
