,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
138,diethylcarbonate,,,118.06,126,-43,0.98,,,1.3845,1.21,1.10,,0,0.4,0.45,16.6,3.1,6.1,121,,,,,,,,,,,,,,105-58-8
139,diethyleneglycolbutylether,,,162.13,230,-68,0.954,0.0649,0.0219,1.4258,0.3,,,,,,16,7,10.6,170.6,,,,,,,,,,,,,,112-34-5
140,diethyleneglycoldimethylether,,,134.09,162,-68,0.95,1.089,,1.4097,-0.36,,,,,,15.8,6.1,9.2,142,,,,,,,,,,,,,,111-96-6
141,diethyleneglycolmethylether,,,134.09,199,-76,0.99,3.85,,1.4273,-0.15,,,,,,16.2,7.8,12.7,118,,,,,,,,,,,,,,111-90-0
142,diethyleneglycolmonoethylether,,,134.09,199,-76,0.99,3.85,,1.4273,-0.15,,,,,,16.2,9.2,12.3,130.9,,,,,,,,,,,,,,111-90-0
143,diethylenetriamine,,,103.11,207,-39,0.96,,0.23,1.481,-1.3,,,,,,16.8,13.3,14.3,108,,,,,,,,,,,,,,111-40-0
144,diethylphthalate,,,222.09,295,-23,1.12,,0.0021,1.5002,2.47,,,,,,17.6,9.6,4.5,198,,,,,,,,,,,,,,68988-18-1
145,diethylsulfate,,,154.03,209.5,-25,1.2,,,1.40037,1.14,,,,,,15.8,14.7,7.2,131.5,,,,,,,,,,,,,,64-67-5
146,diethylsulfide,,,90.05,92,-102.05,0.8385,,60.2,1.445,1.95,,,0,0.37,0.46,17,3.1,2,108.2,,,,,,,,,,,,,,68990-36-3
147,diisopropylether,#FF6347,,102,68,-86.8,0.7192,0.38,149.262,1.368,1.52,1.13,3.9,0,0.49,0.27,15.1,3.2,3.2,141.8,,,,,,,,,,,,,,108-20-3
148,dimethylphthalate,,,194.06,284,5.5,1.19,17.2,0.00308,1.5168,1.795,2.80,,0,0.78,0.82,18.6,10.8,4.9,163,,,,,,,,,,,,,,131-11-3
149,dimethylsulfone,,,94.01,238,109,,,,,-1.41,,,,,,19,19.4,12.3,75,,,,,,,,,,,,,,67-71-0
150,dinoctylphthalate,,,390.28,220,25,0.98,,0.0000001,1.485,8.1,2.84,,,,,16.6,7,3.1,277,,,,,,,,,,,,,,117-84-0
151,dipropylamine,,,101.12,109.3,-63,0.738,,20.1,1.40455,1.67,1.07,2.9,,,,15.3,1.4,4.1,136.9,,,,,,,,,,,,,,142-84-7
152,dipropyleneglycol,,,134.09,,,1.005,,,1.45,,,,,,,16.5,10.6,17.7,131.8,,,,,,,,,,,,,,106-62-7
153,dipropyleneglycolbutylether,,,190.16,230,None; turns - glass at -43 ,0.91,,0.1,1.44,1.5,,,,,,15.7,6.5,10,211.2,,,,,,,,,,,,,,29911-28-2
154,dllimonene,,,136.13,178,-74,0.8405,,1.98,1.474,4.2,,,,,,17.2,1.8,4.3,162.9,,,,,,,,,,,,,,5989-27-5
156,epichlorohydrin,,,92,116,-48,1.18,,16.4,1.43585,0.26,1.80,,,,,19,10.2,3.7,79.9,,,,,,,,,,,,,,106-89-8
157,ethanethiol,,,62.02,35,-144.4,0.84,,529,1.428,1.5,,,,,,15.8,6.5,7.2,74.3,,,,,,,,,,,,,,75-08-1
159,ethylbenzene,,,106.08,136,-95,0.87,0.64,9.6,1.4959,3.1,,,,,,17.8,0.6,1.4,123.1,,,,,,,,,,,,,,70955-17-8
160,ethylchloroformate,,,108,95,-80.6,1.1,,,1.3947,,,,,,,15.5,10,6.8,95.6,,,,,,,,,,,,,,541-41-3
161,ethylcinnamate,,,176.08,,,1.0475,,,1.56,,,5.3,,,,18.4,8.2,4.1,166.8,,,,,,,,,,,,,,103-36-6
162,ethylenediamine,,,60.07,117,8.5,0.91,0.0154,,1.4565,-1.2,1.90,,,,,16.6,8.8,17,67.3,,,,,,,,,,,,,,107-15-3
163,ethyleneglycolbutylether,,,118.1,171,-75,0.9,,0.88,1.4198,0.83,2.08,,,,,16,5.1,12.3,131.6,,,,,,,,,,,,,,111-76-2
164,ethyleneglycolmonophenylether,,,138.07,237.5,14,1.1094,,7,1.534,1.16,,,,,,17.8,5.7,14.3,124.7,,,,,,,,,,,,,,122-99-6
165,ethylformate,,,74.04,53,-80,0.92,,245,1.361,0.23,,7.1,0,0.36,0.61,15.5,8.4,8.4,80.2,,,,,,,,,,,,,,109-94-4
166,formamide,,,45.02,207,2.5,1.13,,,1.44754,-1.51,, epsilon= 84; industrial grades may have odor of ammonia,0.71,0.48,0.97,17.2,26.2,19,39.8,,,,,,,,,,,,,,75-12-7
167,formicacid,#FFD700,,46,100.56,4,1.214,1.966,42.603,1.369,0.54,,,1.23,0.38,0.65,14.3,11.9,16.6,37.8,,,,,,,,,,,,,,15907-03-6
168,furan,,,68.03,31.3,-85.6,0.94,0.38,600,1.4214,1.34,,3,,,,17.8,1.8,5.3,72.5,,,,,,,,,,,,,,110-00-9
169,furfurylalcohol,,,98.04,170,-31,1.13,,,1.485,0.28,,,,,,17.4,7.6,15.1,86.5,,,,,,,,,,,,,,98-00-0
170,gammabutyrolac-ne,,,86.04,204,-44,1.125,,0.45,1.444,-0.64,3.82,,,,,18,16.6,7.4,76.5,,,,,,,,,,,,,,96-48-0
172,isobutylacetate,#9ACD32,,116,116.5,-98.8,0.88,0.69,17.776,1.4,1.72,1.87,5.6,,,,15.1,3.7,6.3,133.5,,,,,,,,,,,,,,110-19-0
173,isobutylisobutyrate,,,144.12,148.6,-81,0.855,,4.33,1.399,,,,,,,15.1,2.8,5.8,169.8,,,,,,,,,,,,,,97-85-8
174,isopentylacetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,,,,,,15.3,3.1,7,148.8,,,,,,,,,,,,,,123-92-2
175,isophorone,,,138.1,215,-8,0.92,2.62,,1.4775,1.67,,,,,,16.6,8.2,7.4,150.5,,,,,,,,,,,,,,78-59-1
176,isopropylpalmitate,,,298.29,342,13.5,0.8404,,0.0000559,1.4364,,,,,,,14.3,3.9,3.7,330,,,,,,,,,,,,,,142-91-6
177,mcresol,,,108.06,202,12.2,1.03,2.093,0.11,1.54,1.96,1.59,,,,,18.5,6.5,13.7,105,,,,,,,,,,,,,,108-39-4
178,mesitylene,,,120.09,165,-45,0.86,,2.48,1.49541,3.42,,3.4,,,,18,0,0.6,139.8,,,,,,,,,,,,,,108-67-8
179,mesityloxide,,,98.07,130,-41.5,0.86,60,8.21,1.4445,1.7,,15.4,,,,16.4,7.2,6.1,115.6,,,,,,,,,,,,,,141-79-7
180,methylacetate,#FFD700,,74,57.4,-98,0.928,0.364,21.602,13.614,0.18,1.68,6.7,0,0.42,0.6,15.5,7.2,7.6,79.7,,,,,,,,,,,,,,79-20-9
182,methyloleate,,,296.27,217,-19.9,0.8739,2.62,,1.4522,7.45,,,,,,14.5,3.9,3.7,340,,,,,,,,,,,,,,139152-82-2
183,morpholine,,,87.07,129,-5,17,2.23,10.1,1.454,-0.86,,,0.29,0.7,0.39,18.8,4.9,9.2,87.1,,,,,,,,,,,,,,110-91-8
184,naphthalene,,,128.06,218,80,1.15,0.754,0.085,1.4003,3.35,,,,,,19.2,2,5.9,111.5,,,,,,,,,,,,,,72931-45-4
185,nitroethane,,,75.03,114,-90,1.05,,20.8,1.3917,0.2,3.65,28,,,,16,15.5,4.5,71.5,,,,,,,,,,,,,,79-24-3
186,nitropropane,,,89.05,132,-108,1,0.79,10.1,1.4018,0.87,,,,,,16.6,12.3,5.5,89.5,,,,,,,,,,,,,,25322-01-4
187,nmethylpyrrolidine,,,99.07,202,-24.4,1.03,1.65,0.345,1.469,-0.38,,32.3,,,,18,12.3,7.2,96.5,,,,,,,,,,,,,,872-50-4
188,"n,ndimethylhydrazine",,,60.07,64,-58,0.79,,167,1.40753,-1.19,,,,,,15.3,5.9,11,76,,,,,,,,,,,,,,57-14-7
189,octanoicacid,,,144.12,239,16.5,0.91,,0.00371,1.426,3.05,,,,,,15.1,3.3,8.2,159,,,,,,,,,,,,,,68937-74-6
190,oleicacid,,,282.26,360,13.4,0.895,25.6,0.000000546,1.46,7.73,1.44,,,,,14.3,3.1,5.5,320,,,,,,,,,,,,,,112-80-1
191,oleylalcohol,,,268.28,207,6.5,0.848,,,1.458,,,,,,,14.3,2.7,8,316,,,,,,,,,,,,,,143-28-2
192,oxylene,,,106.08,144,-25,0.88,,,,3.12,0.63,,,,,17.8,1,3.1,121.2,,,,,,,,,,,,,,95-47-6
193,pentylacetate,,,130.1,149,-71,0.88,1.58,3.5,1.4023,2.18,,5,,,,15.8,3.3,6.1,148,,,,,,,,,,,,,,628-63-7
194,phenol,,,94.04,182,41,1.06,,,1.5408,1.46,1.45,,1.65,0.3,0.72,18,5.9,14.9,87.5,,,,,,,,,,,,,,108-95-2
195,propionitrile,,,55.04,97,-92,0.78,0.389,,1.36585,0.16,,,,,,15.3,14.3,5.5,70.9,,,,,,,,,,,,,,68130-67-6
196,propylacetate,,,102.07,101.6,-92,0.84,,35.9,1.3845,1.24,1.79,6.3,,,,15.3,4.3,7.6,115.8,,,,,,,,,,,,,,109-60-4
197,propylamine,,,59.07,48,-83,0.717,,310,1.387,0.15,,,,,,17,4.9,8.6,83,,,,,,,,,,,,,,68187-45-1
198,propyleneglycolmonomethyletheracetate,,,132.08,146,-66,0.969,,3.92,,0.56,,,,,,15.6,5.6,9.8,137.1,,,,,,,,,,,,,,108-65-6
199,propylpropionate,,,116.08,123,-75.9,0.876,,,1.3935,,1.79,4.7,,,,15.5,5.6,5.7,132.5,,,,,,,,,,,,,,106-36-5
200,quinoline,,,129.06,238,-15,1.09,2.997,,1.62683,2.06,,,0,0.64,0.92,19.4,7,7.6,118,,,,,,,,,,,,,,91-22-5
201,resorcinol,,,110.04,280,110,1.27,,0.000489,1.578,0.86,2.09,,,,,18,8.4,21.1,87.5,,,,,,,,,,,,,,108-46-3
202,secbutylacetate,,,116.08,112,-99,0.86,,,1.3888,1.51,,,,,,15,3.7,7.6,134,,,,,,,,,,,,,,105-46-4
203,stearicacid,,,284.27,371,70.5,0.86,9.87,0.000000722,1.613,8.23,,,,,,16.4,3.3,5.5,326,,,,,,,,,,,,,,57-11-4
204,styrene,,,104.06,145,-30.6,0.91,0.696,6.4,1.544,3,,,,,,18.6,1,4.1,115.6,,,,,,,,,,,,,,100-42-5
205,succinicanhydride,,,100.02,261,119.6,1.503,,0.0015,,,,,,,,18.6,19.2,16.6,66.8,,,,,,,,,,,,,,108-30-5
206,sulfolane,,,120.02,285,27.6,1.2606,,,1.481,-0.77,,,0,0.39,0.98,18,18,9.9,95.3,,,,,,,,,,,,,,126-33-0
207,tertbutylacetate,,,116.08,97.8,,0.87,,47,1.3855,1.76,1.91,,,,,15,3.7,6,134.8,,,,,,,,,,,,,,540-88-5
208,tetrachloroethylene,,,163.88,121,-22,1.62,0.839,18.5,1.5053,3.4,0.00,2.5,,,,19,6.5,2.9,101.1,,,,,,,,,,,,,,127-18-4
209,tetrahydrofurfurylalcohol,#FF6347,,102,178,-80,1.054,11.08,0.8,1.452,0.14,,,,,,17.8,8.2,12.9,97.4,,,,,,,,,,,,,,93842-55-8
210,tetramethylurea,,,116.09,176.5,-1.2,0.9687,,,1.4493,0.19,,,,,,16.8,8.2,11,120.4,,,,,,,,,,,,,,632-22-4
211,tributylphosphate,,,266.16,289,-80,0.98,3.39,0.00113,1.4224,4,,8.91,0,0.8,0.65,16.4,6.3,4.3,345,,,,,,,,,,,,,,126-73-8
212,trichloroethylene,,,129.91,87,-86,1.46,,69,1.4773,2.42,0.77,,,,,18,3.1,5.3,90.2,,,,,,,,,,,,,,79-01-6
213,trichlorofluoromethane,,,135.9,24,-111,4.74,,803,1.374,2.53,,,,,,15.3,2,0,92.8,,,,,,,,,,,,,,75-69-4
214,tricresylphosphate,,,368.12,224,77.5,1.247,,,,,,,,,,19,12.3,4.5,613,,,,,,,,,,,,,,78-32-0
215,triethylphosphate,,,182.07,215,-57,1.07,,0.39,1.4053,0.8,,13.2,0,0.77,0.72,16.8,11.5,9.2,171,,,,,,,,,,,,,,78-40-0
217,trimethylphosphate,,,140.02,197.2,-46,1.2,,0.85,1.3967,-0.65,,,0,0.77,0.72,16.8,16,10.2,99.9,,,,,,,,,,,,,,512-56-1
218,t-Butyl Acetate,,,116.08,97.8,,0.87,,47,1.3855,1.76,1.91,,,,,15,3.7,6,134.8,,,,,,,,,,,,,,540-88-5
219,Butyl Diglycol Acetate,,,204.14,246,-32,0.985,,,1.4262,2.9,,,,,,16,4.1,8.2,208.2,,,,,,,,,,,,,,124-17-4
220,m-Cresol,,,108.06,202,11.8,1.03,2.093,0.11,1.54,1.96,1.59,,,,,18.5,6.5,13.7,105,,,,,,,,,,,,,,108-39-4
221,Diethylene Glycol Monobutyl Ether,,,162.13,230,-68,0.954,0.0649,0.0219,1.4258,0.3,,,,,,16,7,10.6,170.4,,,,,,,,,,,,,,112-34-5
223,Dipropylene Glycol Methyl Ether,,,148.11,190,-80,0.95,,,,,,,,,,15.5,5.7,11.2,156.1,,,,,,,,,,,,,,13588-28-8
224,Ethylene Glycol Monobutyl Ether,,,118.1,171,-75,0.9,,0.88,1.4198,0.83,,,,,,16,5.1,12.3,132,,,,,,,,,,,,,,9004-77-7
226,Iso-Pentyl Acetate,,,130.1,142,-79,0.87,0.872,5.6,1.402,2.13,,,,,,15.3,3.1,7,150.2,,,,,,,,,,,,,,123-92-2
227,Iso-Propyl Acetate,,,102.07,89,-73,0.87,,,1.377,1.02,1.75,,,,,14.9,4.5,8.2,117.1,,,,,,,,,,,,,,108-21-4
228,d-Limonene,,,136.13,178,-74,0.8405,,1.98,1.474,4.2,,,,,,17.2,1.8,4.3,162.9,,,,,,,,,,,,,,5989-27-5
229,Methyl Carbi-l,,,120.08,193,-84,1.025,3.48,0.25,1.4264,-1.035,,,,,,16.2,7.8,12.6,118.2,,,,,,,,,,,,,,111-77-3
230,Methyl iso-Amyl Ke-ne,,,114.1,144,-74,0.81,0.77,5.77,1.4062,1.72,,,,,,16,5.7,4.1,141.3,,,,,,,,,,,,,,110-12-3
231,"N,N-Dimethyl Acetamide",,,87.07,165,-20,0.94,0.92,,1.4358,-0.77,,,0,0.76,0.88,16.8,11.5,10.2,93,,,,,,,,,,,,,,127-19-5
232,Propylene Glycol Monobutyl Ether,,,132.12,171,,0.879,,,,1.15,,,,,,15.3,4.5,9.2,132,,,,,,,,,,,,,,5131-66-8
233,Propylene Glycol Monoethyl Ether Acetate,,,146.09,160,-89,0.98,,,,0.76,,,,,,15.6,6.3,7.7,155.1,,,,,,,,,,,,,,54839-24-6
234,sec-Butyl Acetate,,,116.08,112,-99,0.86,,,1.3888,1.51,,,,,,15,3.7,7.6,134,,,,,,,,,,,,,,105-46-4
235,3-propanediol,#FFD700,,76,214.4,-26.7,1.04,40.01,0.044,1.439,-1.093,,,,,,16.8,13.5,23.2,72.5,,,,,,,,,,,,,,504-63-2
236,4-dioxane,#FF6347,,88,101.5,11.8,1,1.19,38.103,14.224,0.42,,2.25,,,,17.5,1.8,9,85.7,,,,,,,,,,,,,,123-91-1
237,3-methoxybutan-1-ol,#9ACD32,,104,157,-85,0.92,2.28,0.908,1.408,2,,,,,,15.3,5.4,13.6,113.2,,,,,,,,,,,,,,2517-43-3
238,Benzyl acetate,#FFD700,,150,213,-51.3,1.06,2.3,0.18,1.501,2,,5,,,,18.3,5.7,6,143.7,,,,,,,,,,,,,,140-11-4
239,Butyl formate,#FFD700,,102,107,-92,0.892,30,28.9,1.391,1.32,1.92,,,,,15.7,6.5,9.2,115.2,,,,,,,,,,,,,,592-84-7
240,Dibutyl ether,#FFD700,,130,140,-95,0.77,0.69,6.01,13.992,3.21,,3.1,0,0.46,0.27,15.2,3.4,3.2,170.4,,,,,,,,,,,,,,142-96-1
241,dibutylsuccinate,#FFD700,,230,274.5,-29.2,0.98,4,0.016,14.273,24.532,,,,,,16.1,7.7,8.8,238.3,,,,,,,,,,,,,,141-03-7
242,diethyl succinate,#FFD700,,174,217.7,-21,1.04,1.05,0.044,1.42,1.26,,,,,,16.1,7.7,8.8,169.3,,,,,,,,,,,,,,68989-32-2
243,Ethyl butyrate,#9ACD32,,116,121.5,-98,0.87,0.63,14.476,1.392,1.7,1.80,5.1,,,,15.5,5.6,5,132.9,,,,,,,,,,,,,,105-54-4
244,Ethyl cyclopentane,#FFD700,,98,103,-138,0.763,0.535,38,1.426,3.85,0.00,,,,,16.5,1.2,2,125.6,,,,,,,,,,,,,,1640-89-7
245,ethyl isopropyl ke-ne,#FFD700,,100,113.5,-82.16,0.8,0.45,18.076,1.397,1.331,,13.1,,,,16,7.6,4.7,124.9,,,,,,,,,,,,,,565-69-5
246,Ethyl propionate,#FFD700,,102,99.1,-73.9,0.89,0.5,35.928,1.381,1.21,1.75,5.7,,,,15.5,6.1,4.9,115.6,,,,,,,,,,,,,,105-37-3
247,ethylene glycol diacetate,#9ACD32,,146,190,-41,1.13,1.49,0.077,14.159,0.4,,,,,,16.2,4.7,9.8,132.7,,,,,,,,,,,,,,27252-83-1
248,glycerol,#FFD700,,92,290,18.2,1.26,945,0,1.473,-1.76,,,,,,17.4,11.3,27.2,73.4,,,,,,,,,,,,,,8043-29-6
249,"Hexyl acetate, n-",#9ACD32,,144,171.5,-80.9,0.88,1.05,1.32,1.409,2.87,,,,,,15.8,2.9,5.9,166.1,,,,,,,,,,,,,,88230-35-7
250,LacticÂ acid,#FFD700,,90,216,53,1.19,36.9,0.029,14.392,0.6,,,,,,17,8.3,28.4,73.8,,,,,,,,,,,,,,598-82-3
251,Methyl amyl acetate,#9ACD32,,144,147.5,-64,0.86,0.98,28.802,1.409,19.841,,,,,,15.2,3.1,6.8,167.4,,,,,,,,,,,,,,108-84-9
252,Methyl isopropyl ke-ne,#9ACD32,,86,94,-94.4,0.8501,0.454,52.714,1.388,0.84,2.77,,,,,15.8,6.8,5,107.8,,,,,,,,,,,,,,563-80-4
253,Methyl laurate,#FFD700,,214,267,5.2,0.87,3,4,1.432,5.41,,,,,,16.1,3.6,4.2,247.2,,,,,,,,,,,,,,111-82-0
254,n-pentyl propionate,#9ACD32,,144,169,-75,0.873,1,3.6,1.41,2.823,,,,,,15.8,5.2,5.7,165.3,,,,,,,,,,,,,,624-54-4
255,o-xylene,#FFD700,,106,144.5,-25.2,0.87,0.76,6.608,1.503,3.12,0.63,,,,,17.8,1,3.1,121.1,,,,,,,,,,,,,,95-47-6
256,p-cymene,#9ACD32,,134,177.1,-68.9,0.86,0.76,1.463,1.489,4.1,,,,,,18,3.5,2.7,156.3,,,,,,,,,,,,,,4939-75-7
257,R-limonene (+) (D),#FFD700,,136,176,-75,0.84,0.923,1.98,1.47,4.57,,,,,,16.5,0.6,0,162.9,,,,,,,,,,,,,,5989-27-5
258,tert-Amyl methyl ether,#9ACD32,,102,86.3,-80,0.766,0.46,75.2,13.862,1.55,,,,,,15.2,4.5,2.5,136.1,,,,,,,,,,,,,,994-05-8
259,Triethylamine,#FF6347,,101,89.3,-114.7,0.75,20.14,57.155,1.401,1.45,,,0,0.71,0.14,15.5,0.4,1,139.7,,,,,,,,,,,,,,121-44-8
261,"1,3-dichlorobenzene",,,145.97,173,-24.8,1.288,,2.15,1.5515,3.53,,5.02,0,0.03,0.75,,,,,,,,,,,,,,,,,,541-73-1
262,"1,3-dimethylbenzene",,,106.08,139,-48,0.86,,8.29,1.4973,3.2,0.30,2.367,0,0.11,0.47,,,,,,,,,,,,,,,,,,108-38-3
263,"1,4-difluorobenzene",,,114.03,,,,,,,,,,0,0.03,0.58,,,,,,,,,,,,,,,,,,540-36-3
264,1-bromobutane,,,135.99,101.3,-112,1.2686,,41.97,1.4398,2.75,,,0,0.13,0.5,,,,,,,,,,,,,,,,,,109-65-9
279,"2,6-dimethylpyridine",,,107.07,144,-6,0.92,,,1.498,1.68,,,0,0.76,0.8,,,,,,,,,,,,,,,,,,108-48-5
281,2-chloroaniline,,,127.02,209,-2,1,2.9157,0.204,1.58586,1.92,,13.4,0.25,0.4,0.83,,,,,,,,,,,,,,,,,,95-51-2
282,2-chloroethanol,,,80,128-130 ,-67,1.2,,,1.4419,-0.06,1.78,,1.28,0.53,0.46,,,,,,,,,,,,,,,,,,107-07-3
283,2-cyanopyridine,,,104.04,224.5,29,1.081,,,1.5242,0.45,,,0,0.29,1.2,,,,,,,,,,,,,,,,,,29386-66-1
284,2-fluoropyridine,,,97.03,,,,,,,,,,0,0.51,0.84,,,,,,,,,,,,,,,,,,372-48-5
285,2-heptanone,,,114.1,151,-35.5,0.81,0.77,3.85,1.408,1.98,,,0.05,0.48,0.61,,,,,,,,,,,,,,,,,,110-43-0
286,2-methyl-2-butanol,,,88.09,87.35,-8.4,0.8096,,16.7,1.4052,0.89,1.70,11.7,0.28,0.93,0.4,,,,,,,,,,,,,,,,,,75-85-4
287,2-methylbutane,,,72.09,28,-160,0.6,0.214,,1.3537,2.3,0.13,,0,0.01,-0.08,,,,,,,,,,,,,,,,,,78-78-4
288,2-phenylace-nitrile,,,117.06,233.5,-23.8,1.0205,,0.089,1.52105,1.56,,18,0,0.41,1,,,,,,,,,,,,,,,,,,140-29-4
289,2-phenylethanol,,,122.07,219,-27,1.0185,,,1.532,1.4,1.65,,0.64,0.61,0.88,,,,,,,,,,,,,,,,,,60-12-8
292,3-chlorophenol,,,128,214,33,1.245,11.55,0.125,1.5565,2.495,,,1.57,0.23,0.77,,,,,,,,,,,,,,,,,,108-43-0
294,3-phenylpropanol,,,136.09,235.5,-18,0.993,,0.0234,1.526,1.88,,,0.53,0.55,0.95,,,,,,,,,,,,,,,,,,122-97-4
297,bis(2-methoxyethyl) ether,,,134.09,162,-68,0.95,1.089,,1.4097,-0.36,,,0,0.4,0.64,,,,,,,,,,,,,,,,,,111-96-6
298,chloroace-nitrile,,,74.99,126,,1.19,,,1.4225,0.23,,,0,0.34,1.01,,,,,,,,,,,,,,,,,,107-14-2
299,cis-decalin,,,138.14,190,-40,0.885,1.788,,,4.6,,,0,0.08,0.11,,,,,,,,,,,,,,,,,,493-01-6
300,cyclopentanone,,,84.06,131,-51,0.955,,11.4,1.435,0.38,2.93,,0,0.52,0.76,,,,,,,,,,,,,,,,,,120-92-3
301,decane,,,142.17,174.2,-29.7,0.7,,1.43,1.4102,5.98,,,0,0,0.03,,,,,,,,,,,,,,,,,,63335-87-5
302,di-n-butyl sulfide,,,146.11,185.5,-80,0.836,,,1.453,,,,0,0.38,0.36,,,,,,,,,,,,,,,,,,544-40-1
303,dibromomethane,,,171.85,97,-52.7,2.5,,,1.542,1.88,,6.7,0,0,0.92,,,,,,,,,,,,,,,,,,4371-77-1
304,diisopropyl sulfide,,,118.08,121,-78.1,,,,,2.84,,,0,0.38,0.36,,,,,,,,,,,,,,,,,,625-80-9
305,dimethyl sulfide,,,62.02,37.3,-98,0.85,,502,1.432,0.84,,,0,0.34,0.57,,,,,,,,,,,,,,,,,,75-18-3
306,dimethylcyanamide,,,70.05,163.5,-41,0.876,,,1.4089,,,,0,0.64,0.72,,,,,,,,,,,,,,,,,,1467-79-4
307,diphenyl ether,,,170.07,257,28,1.08,,0.0225,1.5805,4.21,,,0,0.13,0.66,,,,,,,,,,,,,,,,,,101-84-8
308,dipropyl ether,,,102.1,89,-122,0.7,,62.5,1.3807,2.03,,3.4,0,0.46,0.27,,,,,,,,,,,,,,,,,,111-43-3
309,dodecane,,,170.2,216,-9.6,0.7495,,0.135,1.4216,6.1,,,0,0,0.05,,,,,,,,,,,,,,,,,,112-40-3
310,ethanediol,,,62.04,,,,,,,,,,0.9,0.52,0.92,,,,,,,,,,,,,,,,,,4433-56-1
311,ethoxybenzene,,,122.07,172,-30,0.224,,1.56,1.5076,2.51,,4.5,0,0.3,0.69,,,,,,,,,,,,,,,,,,103-73-1
312,ethyl benzoate,,,150.07,75.5,-34,1.0465,,,1.505,2.64,,,0,0.41,0.74,,,,,,,,,,,,,,,,,,70750-03-7
313,ethyl chloroacetate,,,122.01,144.2,-26,1.01,,,1.4227,,,11.6,0,0.35,0.7,,,,,,,,,,,,,,,,,,105-39-5
315,fluorobenzene,,,96.04,,,1.0225,,,,,,,0,0.07,0.62,,,,,,,,,,,,,,,,,,462-06-6
316,heptanoic acid,,,130.1,223,-7.5,0.9175,3.4,0.0107,1.423,2.42,,2.5,1.2,0.45,0.5,,,,,,,,,,,,,,,,,,111-14-8
317,hexafluorobenzene,,,185.99,,,,,,,,,,0,0.02,0.33,,,,,,,,,,,,,,,,,,392-56-3
318,hexanoic acid,,,116.08,205,-3,0.9255,,,1.4165,1.88,,,1.22,0.45,0.52,,,,,,,,,,,,,,,,,,142-62-1
319,hexanol,,,102.1,157,-44.6,0.8185,0.592,0.928,1.4175,2.03,,,0.8,0.84,0.4,,,,,,,,,,,,,,,,,,25917-35-5
320,iodobenzene,,,203.94,188.4,-31.3,1.808,,1.06,1.62,3.25,,,0,0.06,0.81,,,,,,,,,,,,,,,,,,591-50-4
321,methyl formate,,,60.02,32,-100,0.98,,585.7,1.3433,-0.21,,8.5,0,0.37,0.62,,,,,,,,,,,,,,,,,,107-31-3
322,"N,N-diethylacetamide",,,115.1,185.5,20,0.913,,,1.4374,0.34,,,0,0.78,0.84,,,,,,,,,,,,,,,,,,685-91-6
323,"N,N-dimethylaniline",,,121.09,193,2.5,0.96,,0.7,1.5582,2.3,,,0,0.43,0.73,,,,,,,,,,,,,,,,,,121-69-7
324,"N,N-dimethylbenzylamine",,,135.1,180,-75,0.9,,,,1.91,,,0,0.64,0.45,,,,,,,,,,,,,,,,,,103-83-3
325,"N,N-dimethylcyclohexylamine",,,127.14,163.5,-60,0.85,,,,2.01,,,0,0.84,0.23,,,,,,,,,,,,,,,,,,98-94-2
326,N-methylacetamide,,,73.05,205,28,0.9371,,,1.4301,-1.05,,,0.47,0.8,1.01,,,,,,,,,,,,,,,,,,79-16-3
327,N-methylaniline,,,107.07,195,-57,0.989,1.766,,1.57367,1.7,,6,0.17,0.47,0.82,,,,,,,,,,,,,,,,,,100-61-8
328,N-methylformamide,,,59.04,182.5,-3,0.9961,,,1.4319,-0.0624,,182.4,0.62,0.8,0.9,,,,,,,,,,,,,,,,,,123-39-7
330,octane,,,114.14,126,-56.8,0.7,0.5151,14.1,1.3974,4.59,,,0,0,0.01,,,,,,,,,,,,,,,,,,31372-91-5
331,oxane,,,86.07,88,-49.2,0.8814,,,1.4211,0.95,,2.4,0,0.54,0.51,,,,,,,,,,,,,,,,,,142-68-7
332,pentafluoropyridine,,,169,,,,,,,,,,0,0.16,0.53,,,,,,,,,,,,,,,,,,700-16-3
333,pentanoic acid,,,102.07,186.5,-34.5,0.9375,2.3,,1.4095,1.39,,,1.19,0.45,0.54,,,,,,,,,,,,,,,,,,109-52-4
334,piperidine,,,85.09,106,-7,0.86,,32.1,1.452,0.84,,5.9,0,1.04,0.3,,,,,,,,,,,,,,,,,,110-89-4
335,propanoic acid,,,74.04,141,-21,0.99,1.02,3.53,1.3865,0.33,,,1.12,0.45,0.58,,,,,,,,,,,,,,,,,,68990-37-4
336,pyrrolidine,,,107.05,89,-63,0.85,,62.7,1.443,0.46,,,0.16,0.7,0.39,,,,,,,,,,,,,,,,,,123-75-1
337,tetradecafluorohexane,,,337.98,57.2,-86.1,1.6717,,218,1.2515,,,,0,-0.08,-0.41,,,,,,,,,,,,,,,,,,355-42-0
