,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name,Cas Number
108,benzylbutylphthalate,,,312.14,370,-35,1.1,,0.00000825,1.5375,4.77,,,,,,19,11.3,3.1,306,,,,,,,,,,,,,,85-68-7
109,benzylether,,,198.1,2978,3.6,1.0425,,,1.5605,3.31,,,,,,17.4,3.7,7.4,192.7,,,,,,,,,,,,,,103-50-4
111,bis-2-chloroisopropylether,,,170.03,187,5,1.1,,,1.4505,2.36,,,,,,19,8.2,5.1,146,,,,,,,,,,,,,,108-60-1
112,bromobenzene,,,155.96,156.2,-30.7,1.5,,,1.5597,2.99,,5.4,0,0.06,0.79,20.5,5.5,4.1,105.3,,,,,,,,,,,,,,108-86-1
113,bromochloromethane,,,127.9,68,-88,1.93,,142,1.4808,1.41,,7.7,,,,17.4,5.7,3.5,65,,,,,,,,,,,,,,74-97-5
114,bromoethane,,,107.96,38.4,-119,1.46,0.379,467,1.4242,1.61,2.03,4.9,,,,16.6,8,5.1,76.9,,,,,,,,,,,,,,74-96-4
115,bromoform,,,249.76,149.5,8.3,2.89,,5.4,1.5948,2.38,,4.5,,,,21.5,4.1,6.1,87.5,,,,,,,,,,,,,,75-25-2
116,bromotrifluoromethane,,,147.91,-58,-168,5.14,,,1.238,1.86,,,,,,9.6,2.5,0,97,,,,,,,,,,,,,,75-63-8
117,bu-xypropanol,,,132.12,171,,0.879,,,,1.15,,,,,,15.3,4.5,9.2,132,,,,,,,,,,,,,,5131-66-8
118,butylacetate,,,116.08,126,-78,0.88,,11.5,1.3945,1.82,1.84,5.1,0,0.45,0.46,15.8,3.7,6.3,132.5,,,,,,,,,,,,,,123-86-4
119,butylamine,,,73.09,78,-50,0.74,,92.9,1.401,0.86,1.39,,0,0.72,0.31,16.2,4.5,8,99,,,,,,,,,,,,,,109-73-9
120,butylbenzoate,,,178.1,250,-22,1,,0.01,1.494,,,,,,,18.3,5.6,5.5,178.1,,,,,,,,,,,,,,136-60-7
122,butylpropionate,,,130.1,146,-90,0.87,,,1.401,,1.80,,,,,15.7,5.5,5.9,149.3,,,,,,,,,,,,,,590-01-2
123,butylstearate,,,340.33,343,27.5,0.86,,,1.4328,,,,,,,14.5,3.7,3.5,382,,,,,,,,,,,,,,68154-28-9
124,butyraldehyde,,,72.06,74.8,-99,0.799,0.45,111,1.382,0.88,2.72,13.4,,,,14.7,5.3,7,88.5,,,,,,,,,,,,,,123-72-8
125,butyricacid,,,88.05,164,-7.9,0.954,,1.65,1.398,0.79,1.23,3,,,,14.9,4.1,10.6,110,,,,,,,,,,,,,,107-92-6
126,butyronitrile,,,69.06,117,-112,0.81,0.6,,1.38385,0.55,,20.7,,,,15.3,12.5,5.1,87,,,,,,,,,,,,,,109-74-0
127,caprolac-ne,,,114.07,237,-1.5,1,,0.135,,0.68,,,,,,19.7,15,7.4,110.8,,,,,,,,,,,,,,502-44-3
