,"
'number'","
'smiles'","
'casnumber'"
148,149,FC(F)(F)C(=O)OC(=O)C(F)(F)F,407-25-0
149,150,OC(C(F)(F)F)C(F)(F)F,920-66-1
150,151,CN1CCCCCC1=O,2556-73-2
151,152,CCN(CC)[S](=O)(=O)N(CC)CC,2832-49-7
152,153,CN(C)[P](C)(=O)N(C)C,2511-17-3
153,154,COC(C)(C)OC,77-76-9
154,155,CC1(C)OCC(CO)O1,100-79-8
155,156,CC(=C)[C@@H]1CCC(=CC1)C,5989-27-5
156,157,CC1CCC(=O)O1,108-29-2
157,158,C1CCN2CCCN=C2CC1,6674-22-2
158,159,CCN(C(C)C)C(C)C,7087-68-5
159,160,Cl\C=C/Cl,156-59-2
160,161,Cl\C=C\Cl,156-60-5
161,162,CCOCCO,110-80-5
162,163,CCCCC(C)=O,591-78-6
163,164,COC=O,107-31-3
164,165,CCOC=O,109-94-4
165,166,CCCOC=O,110-74-7
166,167,CCCCOC=O,592-84-7
167,168,COC(=O)CCCCC(=O)OC,627-93-0
168,169,CC(C)CCOC(C)=O,123-92-2
169,170,CCCCCCOC(C)=O,142-92-7
170,171,CC(=O)OCCOC(C)=O,111-55-7
171,172,O=C1CCCO1,96-48-0
172,173,COC(OC)OC,149-73-5
173,174,CCOC(OCC)OCC,122-51-0
174,175,CC1(C)OCCO1,2916-31-6
175,176,CC(=O)CC(C)=O,123-54-6
176,177,CCC1CCCCC1,1678-91-7
177,178,CCCCCC#N,628-73-9
178,179,CCCCCOC(C)=O,628-63-7
179,180,CCC(=O)OC,554-12-1
180,181,CCCC(=O)OC,623-42-7
181,182,CCCCC(=O)CCCC,502-56-7
182,183,C1Cc2ccccc2C1,496-11-7
183,184,c1cncnc1,289-95-2
184,185,c1ccnnc1,289-80-5
185,186,C1CCCC1,287-92-3
186,187,CCCCCCCCCO,143-08-8
187,188,CCCNCCC,142-84-7
188,189,[H+].[Cl-].C1CCNC1,123-75-1
189,190,CC(=O)CC(C)(C)O,123-42-2
190,191,O=C1CCCC1,120-92-3
191,192,O=C(OCc1ccccc1)c2ccccc2,120-51-4
192,193,CCCCNCCCC,111-92-2
193,194,CCCCCCCO,111-70-6
194,195,N#CCCCCC#N,111-69-3
195,196,CCCCCCO,111-27-3
196,197,CCCCCN,110-58-7
197,198,s1cccc1,110-02-1
198,199,C1CCSC1,110-01-0
199,200,o1cccc1,110-00-9
200,201,[nH]1cccc1,109-97-7
201,202,CCCCN,109-73-9
202,203,CCCOC(C)=O,109-60-4
203,204,NC1CCCCC1,108-91-8
204,205,CC(C)NC(C)C,108-18-9
205,206,CCC[N+]([O-])=O,108-03-2
206,207,CCCC(O)=O,107-92-6
207,208,CCCN,107-10-8
208,209,CCOC(=O)CC,105-37-3
209,210,CCCC(=O)OCC,105-54-4
210,211,CCCCc1ccccc1,104-51-8
211,212,CNc1ccccc1,100-61-8
212,213,CCNc1ccccc1,103-69-5
213,214,NCc1ccccc1,100-46-9
214,215,CCc1ccccc1,100-41-4
215,216,CC(C)c1ccccc1,98-82-8
216,217,O=Cc1occc1,98-01-1
217,218,CC1CCCC1,96-37-7
218,219,COC(=O)c1ccccc1,93-58-3
219,220,CC(C)[N+]([O-])=O,79-46-9
220,221,ClC(Cl)C(Cl)Cl,79-34-5
221,222,CC(C)C(O)=O,79-31-2
222,223,CC[N+]([O-])=O,79-24-3
223,224,ClCC(Cl)Cl,79-00-5
224,225,CC(C)CN,78-81-9
225,226,ClC(Cl)C(Cl)(Cl)Cl,76-01-7
226,227,CC(C)(C)N,75-64-9
227,228,CC(C)N,75-31-0
228,229,CC(O)CO,57-55-6
229,230,C1CCOCC1,142-68-7
230,231,CC(COC(C)=O)OC(C)=O,623-84-7
231,232,COCCCOCCCOC,111109-77-4
232,233,,1087696-49-8
233,234,CCc1cccc(c1)C(C)=O,22699-70-3
234,235,CN1CCOCC1,109-02-4
235,236,CC1CCC(CO)CC1,34885-03-5
236,237,C[Si](C)(C)O[Si](C)(C)C,107-46-0
237,238,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,107-51-7
238,239,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,141-62-8
239,240,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,104986-37-0
240,241,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,541-02-6
241,242,CCCCOCCOCCO,112-34-5
242,243,CCCCCCOCCOCCO,112-59-4
243,244,COCCOCCO,111-77-3
244,245,CCOCCOCCO,111-90-0
245,246,CCCCOCCOCCOC(C)=O,124-17-4
246,247,CCCOCCO,2807-30-9
247,248,CCCCOCCOC(C)=O,112-07-2
248,249,CCCCOCCO,111-76-2
249,250,CCCOCC(C)OCC(C)O,29911-27-1
250,251,OCCOc1ccccc1,122-99-6
251,252,COCC(C)OC(C)=O,108-65-6
252,253,CC(COC(C)=O)OC(C)=O,623-84-7
253,254,COCC(C)O,107-98-2
254,255,CCCCOCC(C)O,5131-66-8
255,256,CCCOCC(C)O,1569-01-3
256,257,CC(O)COc1ccccc1,770-35-4
257,258,COCC(C)OCC(C)OC(C)CO,25498-49-1
258,259,CCOCCCC(C)OCCOCC(C)CO,55934-93-5
259,260,COC(C)COC(C)CO,34590-94-8
260,261,CCC(OCCCOC)OC(C)=O,88917-22-0
261,262,CCCCOCC(C)OCC(C)O,29911-28-2
262,263,CCCCC(CC)CO,104-76-7
263,264,CCC(C)CO,137-32-6
264,265,CC(C)CC(C)O,108-11-2
265,266,CCCOC(=O)CC,106-36-5
266,267,CCOCCC(=O)OCC,763-69-9
267,268,CC(C)C(O)C(C)(C)COC(=O)C(C)C,25265-77-4
268,269,CCCCCOC(=O)CC,624-54-4
269,270,CCCCOCCOCCOCCO,143-22-6
270,271,COCCCOCCCOC,111109-77-4
271,272,CC(=O)OCC(COC(C)=O)OC(C)=O,102-76-1
