,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
41,86.13,81.0,-136.0,0.85,0.4753,81.8,1.406,0.82,1.38,6.97,0.0,0.58,0.53,16.9,5.0,4.3,101.3334118
42,114.15,225.0,8.0,1.058,1.9256,0.1,1.472,-0.03,2.64,37.6,0.264705882,0.419019608,0.624716981,17.8,9.5,9.3,107.8922495
43,73.09,152.8,-60.3,0.9445,0.79,3.87,1.42083,-1.01,3.82,36.71,0.0,0.69,0.88,17.4,13.7,11.3,77.38951826
44,128.18,246.5,-23.0,1.06,2.917,0.0,1.472,-0.03,4.17,36.12,0.264705882,0.419019608,1.08,18.0,10.5,9.7,120.9245283
45,123.11,210.8,5.7,1.2037,1.863,0.245,1.5562,1.85,4.23,36.09,0.0,0.3,1.01,20.0,8.6,4.1,102.2763147
46,64.06,101.1,-28.7,1.1371,0.63,35.8,1.3817,-0.35,3.46,39.4,0.22,0.06,0.85,15.8,18.8,5.1,56.33541465
47,85.15,202.0,-25.0,1.027,1.65,0.345,1.469,-0.38,4.09,32.2,0.0,0.77,0.92,18.0,12.3,7.2,82.91139241
48,72.15,36.06,-129.67,0.6262,0.216,514.04,1.3575,3.39,0.0,1.8,0.0,0.0,-0.08,15.6,0.0,0.0,115.2184606
49,102.09,241.6,-48.8,1.2047,2.5,0.045,1.4189,-0.41,4.77,62.93,0.0,0.38,0.9,20.0,18.0,4.1,84.74308957
50,106.17,138.3,13.3,0.86104,0.6,8.84,1.49575,3.15,0.0,2.27,0.0,0.12,0.43,17.6,1.0,3.1,123.3008919
51,79.1,115.25,-41.6,0.98272,0.88,20.8,1.5092,0.65,2.19,12.5,0.0,0.64,0.87,19.0,8.8,5.9,80.49088245
52,74.12,82.3,25.7,0.7886,4.3839,40.7,1.3878,0.35,1.31,10.9,0.42,0.93,0.41,15.2,5.1,14.7,93.99239158
53,72.11,65.0,-108.44,0.89,0.46,162.0,1.407,0.47,1.7,7.58,0.0,0.55,0.58,16.8,5.7,8.0,81.01865169
54,92.14,110.6,-94.9,0.8623,0.56,28.4,1.4967,2.73,0.36,2.33,0.0,0.11,0.54,18.0,1.4,2.0,106.8539951
55,100.04,74.5,-44.0,1.391,1.768,71.3,1.29,0.31,2.52,8.55,1.51,0.0,0.73,15.4,8.3,16.4,71.91948239
56,18.02,100.0,0.0,0.995,0.89,23.8,1.333,-1.38,1.86,80.1,1.17,0.47,1.09,15.5,16.0,42.3,18.10572864
